feature,avg_importance,consistency,models_used
away_last5_played,0.003577294080362966,0.0047921251800076,6
has_odds,0.0019349083886481822,-0.41012938547268485,6
home_last5_played,0.00102579237621588,-0.35322189256480274,6
home_form_wins,0.0,1.0,6
home_form_draws,0.0,1.0,6
home_form_losses,0.0,1.0,6
home_last5_scoring_rate,0.0,1.0,6
home_win_rate,0.0,1.0,6
away_last5_scoring_rate,0.0,1.0,6
away_form_wins,0.0,1.0,6
away_form_losses,0.0,1.0,6
away_form_draws,0.0,1.0,6
away_win_rate,0.0,1.0,6
